"","Team","GP","MIN","PTS","W","L","P2M","P2A","P2p","P3M","P3A","P3p","FTM","FTA","FTp","OREB","DREB","AST","TOV","STL","BLK","PF","PM"
"1","Atlanta Hawks ",82,3971,9788,29,53,2495,4597,54.27452687,1013,2820,35.92198582,1759,2321,75.78629901,871,2904,2202,1234,810,448,1817,494
"2","Boston Celtics ",82,3956,8852,49,33,2295,4474,51.29637908,944,2748,34.35225619,1430,1872,76.38888889,852,2912,1940,1241,556,317,1602,-364
"3","Brooklyn Nets ",82,3996,9210,42,40,2612,5095,51.26594701,848,2486,34.11102172,1442,1872,77.02991453,902,2889,1944,1104,638,432,1807,6
"4","Charlotte Hornets ",82,3966,9171,39,43,2444,4563,53.56125356,992,2748,36.09898108,1307,1660,78.73493976,825,2931,2133,1109,565,492,1686,90
"5","Chicago Bulls ",82,3981,9295,22,60,2474,4607,53.70088995,990,2709,36.5448505,1377,1805,76.28808864,824,2984,2094,1092,600,473,1534,690
"6","Cleveland Cavaliers ",82,3951,9355,19,63,2555,4558,56.05528741,984,2590,37.99227799,1293,1680,76.96428571,782,2835,2107,1022,568,459,1592,788
"7","Dallas Mavericks ",82,3956,9032,33,49,2439,4648,52.47418244,918,2667,34.42069741,1400,1802,77.69145394,836,2840,2011,1065,643,368,1905,105
"8","Denver Nuggets ",82,3946,8751,54,28,2359,4466,52.82131661,887,2618,33.88082506,1372,1822,75.30186608,799,2685,2016,1109,610,407,1675,-324
"9","Detroit Pistons ",82,3971,8798,41,41,2485,4691,52.97377958,786,2278,34.50395083,1470,1947,75.50077042,747,2834,1940,1153,566,419,1748,20
"10","Golden State Warriors ",82,3961,9120,57,25,2360,4718,50.02119542,955,2753,34.68942971,1535,1987,77.2521389,886,2750,1989,1105,630,295,1601,-530
"11","Houston Rockets ",82,3966,8950,53,29,2482,4662,53.23895324,831,2444,34.00163666,1493,1944,76.80041152,899,2825,1929,1232,607,369,1640,-391
"12","Indiana Pacers ",82,3941,8584,48,34,2245,4426,50.72300045,932,2633,35.39688568,1298,1718,75.55296857,862,2718,2006,1284,608,425,1642,-273
"13","LA Clippers ",82,3966,9372,48,34,2574,5013,51.3464991,849,2477,34.27533306,1677,2159,77.67484947,925,2826,1976,1081,677,498,1969,-70
"14","Los Angeles Lakers ",82,3956,9306,37,45,2467,4826,51.11893908,971,2784,34.87787356,1459,1862,78.3566058,924,2918,2053,1167,683,421,1706,141
"15","Memphis Grizzlies ",82,3976,8703,33,49,2132,4197,50.79818918,951,2639,36.03637742,1586,2023,78.39841819,781,2883,1920,1249,625,402,1758,213
"16","Miami Heat ",82,3946,8687,39,43,2168,4399,49.28392817,973,2717,35.81155686,1432,1861,76.94787749,831,2792,1913,1159,612,389,1652,19
"17","Milwaukee Bucks ",82,3956,8959,60,22,2249,4693,47.92243767,1073,2976,36.05510753,1242,1694,73.3175915,813,2902,2031,1096,557,395,1653,-727
"18","Minnesota Timberwolves ",82,3966,9346,36,46,2411,4634,52.02848511,1041,2752,37.82703488,1401,1827,76.68308703,921,2822,2145,1209,539,455,1795,123
"19","New Orleans Pelicans ",82,3951,9575,33,49,2543,4844,52.49793559,1006,2766,36.37020969,1471,1926,76.37590862,898,2855,2174,1113,702,445,1722,109
"20","New York Knicks ",82,3956,9330,17,65,2465,4679,52.68219705,969,2673,36.25140292,1493,1948,76.64271047,881,3016,2098,1084,607,458,1708,755
"21","Oklahoma City Thunder ",82,3971,9108,49,33,2421,4680,51.73076923,922,2592,35.57098765,1500,1971,76.10350076,811,2936,2039,1372,672,415,1844,-279
"22","Orlando Magic ",82,3956,8742,42,40,2416,4710,51.29511677,858,2475,34.66666667,1336,1717,77.81013395,739,2922,1892,1064,575,362,1537,-58
"23","Philadelphia 76ers ",82,3961,9224,51,31,2575,5042,51.07100357,843,2464,34.21266234,1545,2011,76.82744903,823,2743,1917,1045,634,336,1816,-221
"24","Phoenix Suns ",82,3976,9581,19,63,2570,4776,53.81072027,912,2454,37.16381418,1705,2263,75.34246575,971,2897,2126,1285,737,411,1694,766
"25","Portland Trail Blazers ",82,3971,9058,53,29,2493,4941,50.45537341,878,2443,35.93941875,1438,1868,76.98072805,842,2670,1906,1014,603,420,1699,-344
"26","Sacramento Kings ",82,3946,9455,39,43,2479,4593,53.97343784,986,2837,34.75502291,1539,1998,77.02702703,917,3015,2024,1304,618,420,1753,92
"27","San Antonio Spurs ",82,3961,9018,48,34,2443,4676,52.24550898,961,2678,35.8849888,1249,1654,75.51390568,756,2844,2025,999,589,332,1611,-138
"28","Toronto Raptors ",82,3976,8885,58,24,2420,4793,50.49029835,882,2559,34.46658851,1399,1829,76.48988518,867,2804,2012,1225,622,368,1683,-499
"29","Utah Jazz ",82,3951,8730,50,32,2470,4980,49.59839357,806,2273,35.45974483,1372,1822,75.30186608,733,2762,1770,1136,695,376,1835,-431
"30","Washington Wizards ",82,3986,9588,32,50,2566,4735,54.19218585,994,2689,36.96541465,1474,1895,77.78364116,936,2939,2151,1292,631,378,1741,238
