"","Team","team","Conference","Division","Rank","Playoff"
"1","Atlanta Hawks","ATL","E","Southeast",12,"N"
"2","Boston Celtics","BOS","E","Atlantic",4,"Y"
"3","Brooklyn Nets","BKN","E","Atlantic",6,"Y"
"4","Charlotte Hornets","CHA","E","Southeast",9,"N"
"5","Chicago Bulls","CHI","E","Central",13,"N"
"6","Cleveland Cavaliers","CLE","E","Central",14,"N"
"7","Dallas Mavericks","DAL","W","Southwest",14,"N"
"8","Denver Nuggets","DEN","W","Northwest",2,"Y"
"9","Detroit Pistons","DET","E","Central",8,"Y"
"10","Golden State Warriors","GSW","W","Pacific",1,"Y"
"11","Houston Rockets","HOU","W","Southwest",4,"Y"
"12","Indiana Pacers","IND","E","Central",5,"Y"
"13","LA Clippers","LAC","W","Pacific",8,"Y"
"14","Los Angeles Lakers","LAL","W","Pacific",10,"N"
"15","Memphis Grizzlies","MEM","W","Southwest",12,"N"
"16","Miami Heat","MIA","E","Southeast",10,"N"
"17","Milwaukee Bucks","MIL","E","Central",1,"Y"
"18","Minnesota Timberwolves","MIN","W","Northwest",11,"N"
"19","New Orleans Pelicans","NOP","W","Southwest",13,"N"
"20","New York Knicks","NYK","E","Atlantic",15,"N"
"21","Oklahoma City Thunder","OKC","W","Northwest",6,"Y"
"22","Orlando Magic","ORL","E","Southeast",7,"Y"
"23","Philadelphia 76ers","PHI","E","Atlantic",3,"Y"
"24","Phoenix Suns","PHX","W","Pacific",15,"N"
"25","Portland Trail Blazers","POR","W","Northwest",3,"Y"
"26","Sacramento Kings","SAC","W","Pacific",9,"N"
"27","San Antonio Spurs","SAS","W","Southwest",7,"Y"
"28","Toronto Raptors","TOR","E","Atlantic",2,"Y"
"29","Utah Jazz","UTA","W","Northwest",5,"Y"
"30","Washington Wizards","WAS","E","Southeast",11,"N"
